anime_id,name,genre,type,episodes,rating,members
7785,yojouhan shinwa taikei,"Mystery, Psychological, Romance",TV,11,8.65,122531
3297,aria the origination,"Fantasy, Sci-Fi, Shounen, Slice of Life",TV,13,8.64,56162
30709,kamisama hajimemashita kakohen,"Comedy, Demons, Fantasy, Shoujo, Supernatural",OVA,4,8.64,33422
6114,rainbow nisha rokubou no shichinin,"Drama, Historical, Seinen, Thriller",TV,26,8.64,139474
31240,rezero kara hajimeru isekai seikatsu,"Drama, Fantasy, Psychological, Thriller",TV,25,8.64,355839
4565,tengen toppa gurren lagann movie lagannhen,"Action, Mecha, Sci-Fi, Space, Super Power",Movie,1,8.64,82253
5300,zoku natsume yuujinchou,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.64,114173
9989,ano hi mita hana no namae wo bokutachi wa mada shiranai,"Drama, Slice of Life, Supernatural",TV,11,8.62,463835
24415,kuroko no basket rd season,"Comedy, School, Shounen, Sports",TV,25,8.62,184525
11577,steinsgate movie fuka ryouiki no déjà vu,"Sci-Fi, Thriller",Movie,1,8.61,192424
10408,hotarubi no mori e,"Drama, Romance, Shoujo, Supernatural",Movie,1,8.61,197439
28171,shokugeki no souma,"Ecchi, School, Shounen",TV,24,8.61,348951
32995,yuri on ice,"Comedy, Sports",TV,12,8.61,103178
21899,gintama yorinuki gintamasan on theater 2d,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,2,8.6,11104
26055,jojo no kimyou na bouken stardust crusaders 2nd season,"Action, Adventure, Drama, Shounen, Supernatural",TV,24,8.6,93657
7472,gintama movie shinyaku benizakurahen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,1,8.59,51185
777,hellsing ultimate,"Action, Horror, Military, Seinen, Supernatural, Vampire",OVA,10,8.59,297454
22535,kiseijuu sei no kakuritsu,"Action, Drama, Horror, Psychological, Sci-Fi, Seinen",TV,24,8.59,425457
28735,shouwa genroku rakugo shinjuu,"Drama, Historical, Josei",TV,13,8.59,71295
12431,uchuu kyoudai,"Comedy, Sci-Fi, Seinen, Slice of Life, Space",TV,99,8.59,72958
28805,bakemono no ko,"Adventure, Supernatural",Movie,1,8.58,80825
578,hotaru no haka,"Drama, Historical",Movie,1,8.58,174878
16894,kuroko no basket 2nd season,"Comedy, School, Shounen, Sports",TV,25,8.58,243325
5028,major s5,"Comedy, Drama, Romance, Sports",TV,25,8.58,28653
21,one piece,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",TV,Unknown,8.58,504862
801,ghost in the shell stand alone complex 2nd gig,"Action, Mecha, Military, Mystery, Police, Sci-Fi, Seinen",TV,26,8.57,113993
31933,jojo no kimyou na bouken diamond wa kudakenai,"Action, Adventure, Comedy, Drama, Shounen, Supernatural",TV,39,8.57,74074
5205,kara no kyoukai 7 satsujin kousatsu kou,"Action, Mystery, Romance, Supernatural, Thriller",Movie,1,8.57,95658
17389,kingdom 2nd season,"Action, Historical, Military, Seinen",TV,39,8.57,31234
170,slam dunk,"Comedy, Drama, School, Shounen, Sports",TV,101,8.56,82570
10162,usagi drop,"Josei, Slice of Life",TV,11,8.56,194855
18617,girls und panzer der film,"Military, School",Movie,1,8.55,25641
32182,mob psycho 1,"Action, Comedy, Slice of Life, Supernatural",TV,12,8.55,193716
877,nana,"Comedy, Drama, Music, Romance, Shoujo, Slice of Life",TV,47,8.55,197256
2251,baccano,"Action, Comedy, Historical, Mystery, Seinen, Supernatural",TV,13,8.54,363215
24687,mushishi zoku shou odoro no michi,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Special,1,8.54,34011
16498,shingeki no kyojin,"Action, Drama, Fantasy, Shounen, Super Power",TV,25,8.54,896229
10030,bakuman 2nd season,"Comedy, Drama, Romance, Shounen",TV,25,8.53,151561
5941,cross game,"Comedy, Drama, Romance, School, Sports",TV,50,8.53,53108
30346,doukyuusei movie,"Romance, School, Shounen Ai, Slice of Life",Movie,1,8.53,28864
3784,evangelion 2 you can not advance,"Action, Mecha, Sci-Fi",Movie,1,8.53,182224
13125,shinsekai yori,"Drama, Horror, Mystery, Sci-Fi, Supernatural",TV,25,8.53,288376
12029,uchuu senkan yamato 21,"Action, Drama, Military, Sci-Fi, Space",OVA,26,8.53,44223
14397,chihayafuru 2,"Drama, Game, Josei, Slice of Life, Sports",TV,25,8.52,86074
10087,fatezero,"Action, Fantasy, Supernatural",TV,13,8.51,453630
14719,jojo no kimyou na bouken tv,"Action, Adventure, Shounen, Supernatural, Vampire",TV,26,8.51,190197
9756,mahou shoujo madoka★magica,"Drama, Magic, Psychological, Thriller",TV,12,8.51,462974
10165,nichijou,"Comedy, School, Slice of Life",TV,26,8.52,254436
13601,psychopass,"Action, Police, Psychological, Sci-Fi",TV,22,8.5,509109
22789,barakamon,"Comedy, Slice of Life",TV,12,8.5,225927
30230,diamond no ace second season,"Comedy, School, Shounen, Sports",TV,51,8.5,38531
18115,magi the kingdom of magic,"Action, Adventure, Fantasy, Magic, Shounen",TV,25,8.5,245026
11981,mahou shoujo madoka★magica movie  hangyaku no monogatari,"Drama, Magic, Psychological, Thriller",Movie,1,8.5,135735
11917,major world series,"Comedy, Drama, Sports",OVA,2,8.5,13405
205,samurai champloo,"Action, Adventure, Comedy, Historical, Samurai, Shounen",TV,26,8.5,390076
32282,shokugeki no souma ni no sara,"Ecchi, School, Shounen",TV,13,8.5,185015
6594,katanagatari,"Action, Adventure, Historical, Martial Arts, Romance",TV,12,8.49,207241
11979,mahou shoujo madoka★magica movie 2 eien no monogatari,"Drama, Magic, Psychological, Thriller",Movie,1,8.49,85361
7655,major s6,"Comedy, Drama, Sports",TV,25,8.49,24788
2246,mononoke,"Demons, Fantasy, Historical, Horror, Mystery, Seinen, Supernatural",TV,12,8.49,88850
25835,shirobako,"Comedy, Drama",TV,24,8.49,146895
2921,ashita no joe 2,"Drama, Sports",TV,47,8.48,6259
136,hunter x hunter,"Action, Adventure, Shounen, Super Power",TV,62,8.48,166255
30503,noragami aragoto,"Action, Adventure, Shounen, Supernatural",TV,13,8.48,299434
12531,sakamichi no apollon,"Drama, Josei, Music, Romance, School",TV,12,8.48,146592
523,tonari no totoro,"Adventure, Comedy, Supernatural",Movie,1,8.48,271484
467,ghost in the shell stand alone complex,"Action, Mecha, Military, Police, Sci-Fi, Seinen",TV,26,8.47,194491
572,kaze no tani no nausicaä,"Adventure, Fantasy",Movie,1,8.47,143273
19815,no game no life,"Adventure, Comedy, Ecchi, Fantasy, Game, Supernatural",TV,12,8.47,602291
2559,romeo no aoi sora,"Adventure, Drama, Historical, Slice of Life",TV,33,8.47,15074
392,yuu☆yuu☆hakusho,"Action, Comedy, Demons, Fantasy, Martial Arts, School, Shounen",TV,112,8.47,195017
486,kino no tabi the beautiful world,"Action, Adventure, Slice of Life",TV,13,8.46,102822
11771,kuroko no basket,"Comedy, School, Shounen, Sports",TV,25,8.46,338315
1698,nodame cantabile,"Comedy, Drama, Josei, Music, Romance, Slice of Life",TV,23,8.46,157025
5341,ookami to koushinryou ii,"Adventure, Fantasy, Historical, Romance",TV,12,8.46,210491
25781,shingeki no kyojin kuinaki sentaku,"Action, Fantasy, Shoujo, Supernatural",OVA,2,8.45,92543
10863,steinsgate oukoubakko no poriomania,"Sci-Fi, Thriller",Special,1,8.46,159548
28701,fatestay night unlimited blade works 2nd season,"Action, Fantasy, Magic, Shounen, Supernatural",TV,13,8.45,205987
5420,kemono no souja erin,"Drama, Fantasy",TV,50,8.45,36751
9260,kizumonogatari i tekketsuhen,"Mystery, Supernatural, Vampire",Movie,1,8.45,99579
32,neon genesis evangelion the end of evangelion,"Dementia, Drama, Mecha, Psychological, Sci-Fi",Movie,1,8.45,215630
4224,toradora,"Comedy, Romance, School, Slice of Life",TV,25,8.45,633817
2236,toki wo kakeru shoujo,"Adventure, Drama, Romance, Sci-Fi",Movie,1,8.44,289206
2685,tsubasa tokyo revelations,"Action, Adventure, Drama, Fantasy, Romance, Shounen",OVA,3,8.44,57963
31181,owarimonogatari,"Comedy, Mystery, Supernatural",TV,12,8.43,107855
45,rurouni kenshin meiji kenkaku romantan,"Action, Adventure, Comedy, Historical, Romance, Samurai",TV,94,8.43,218928
2418,stranger mukou hadan,"Action, Adventure, Historical, Samurai",Movie,1,8.43,125503
1365,detective conan movie 6 the phantom of baker street,"Adventure, Mystery, Police, Shounen",Movie,1,8.42,28462
22297,fatestay night unlimited blade works,"Action, Fantasy, Magic, Shounen, Supernatural",TV,12,8.42,267484
627,major s1,"Comedy, Drama, Shounen, Sports",TV,26,8.42,41061
10937,mobile suit gundam the origin,"Action, Mecha, Military, Sci-Fi, Shounen, Space",OVA,6,8.42,15420
23755,nanatsu no taizai,"Action, Adventure, Ecchi, Fantasy, Shounen, Supernatural",TV,24,8.42,331627
4081,natsume yuujinchou,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.42,210736
4155,one piece film strong world,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",Movie,1,8.42,85020
1889,higurashi no naku koro ni kai,"Mystery, Psychological, Supernatural, Thriller",TV,24,8.41,218101
137,hunter x hunter ova,"Action, Adventure, Shounen, Super Power",OVA,8,8.41,53168
139,hunter x hunter greed island final,"Action, Adventure, Shounen, Super Power",OVA,14,8.41,55787
23317,kuroshitsuji book of murder,"Comedy, Demons, Fantasy, Historical, Mystery, Shounen, Supernatural",OVA,2,8.41,67261
558,major s2,"Comedy, Drama, Shounen, Sports",TV,26,8.41,30689
5040,one outs,"Psychological, Seinen, Sports",TV,25,8.41,83056
57,beck,"Comedy, Drama, Music, Shounen, Slice of Life",TV,26,8.4,148328
33,berserk,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",TV,25,8.4,226430
5,cowboy bebop tengoku no tobira,"Action, Drama, Mystery, Sci-Fi, Space",Movie,1,8.4,137636
1842,major s,"Drama, Shounen, Sports",TV,26,8.4,29528
6336,mobile suit gundam unicorn,"Action, Drama, Mecha, Military, Sci-Fi, Space",OVA,7,8.4,42076
20651,natsume yuujinchou itsuka yuki no hi ni,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",OVA,1,8.4,28302
1210,nhk ni youkoso,"Comedy, Drama, Psychological, Romance",TV,24,8.4,291228
338,rose of versailles,"Adventure, Drama, Historical, Romance, Shoujo",TV,40,8.4,32188
13759,sakurasou no pet na kanojo,"Comedy, Drama, Romance, School, Slice of Life",TV,24,8.4,380375
6547,angel beats,"Action, Comedy, Drama, School, Supernatural",TV,13,8.39,717796
5081,bakemonogatari,"Mystery, Romance, Supernatural, Vampire",TV,15,8.39,482268
32867,bungou stray dogs 2nd season,"Mystery, Seinen, Supernatural",TV,12,8.39,83641
264,hajime no ippo champion road,"Comedy, Shounen, Sports",Special,1,8.39,47840
12859,one piece film z,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",Movie,1,8.39,76051
853,ouran koukou host club,"Comedy, Harem, Romance, School, Shoujo",TV,26,8.39,422271
5460,detective conan movie 1 the raven chaser,"Action, Mystery, Police, Shounen",Movie,1,8.38,21798
6746,durarara,"Action, Mystery, Supernatural",TV,24,8.38,556431
5690,nodame cantabile finale,"Comedy, Josei, Music, Romance",TV,11,8.38,67697
329,planetes,"Drama, Romance, Sci-Fi, Seinen, Space",TV,26,8.38,105044
513,tenkuu no shiro laputa,"Adventure, Fantasy, Romance, Sci-Fi",Movie,1,8.38,151061
6945,gintama shiroyasha koutan,"Action, Comedy, Historical, Parody, Sci-Fi",Special,1,8.37,27213
1142,hachimitsu to clover ii,"Drama, Josei, Romance",TV,12,8.37,61493
6811,inuyasha kanketsuhen,"Action, Adventure, Comedy, Demons, Fantasy, Magic, Romance, Shounen, Supernatural",TV,26,8.37,99128
16664,kaguyahime no monogatari,"Fantasy, Historical",Movie,1,8.37,45547
1604,katekyo hitman reborn,"Action, Comedy, Shounen, Super Power",TV,203,8.37,258103
22145,kuroshitsuji book of circus,"Comedy, Demons, Fantasy, Historical, Shounen, Supernatural",TV,10,8.37,122895
2966,ookami to koushinryou,"Adventure, Fantasy, Historical, Romance",TV,13,8.37,334932
31964,boku no hero academia,"Action, Comedy, School, Shounen, Super Power",TV,13,8.36,282002
19363,gin no saji 2nd season,"Comedy, School, Shounen, Slice of Life",TV,11,8.36,67032
18195,little busters refrain,"Comedy, Drama, Romance, School, Slice of Life, Supernatural",TV,13,8.36,71820
9890,major message,"Comedy, Drama, Sports",OVA,1,8.36,12282
9130,saint seiya the lost canvas  meiou shinwa 2,"Action, Adventure, Martial Arts, Shounen, Super Power, Supernatural",OVA,13,8.36,27532
9863,sket dance,"Comedy, School, Shounen",TV,77,8.36,101027
7674,bakuman,"Comedy, Romance, Shounen",TV,25,8.35,246899
11843,danshi koukousei no nichijou,"Comedy, School, Shounen, Slice of Life",TV,12,8.35,258914
16782,kotonoha no niwa,"Drama, Psychological, Romance, Slice of Life",Movie,1,8.35,189741
28675,kyoukai no kanata movie ill be here  miraihen,"Fantasy, Slice of Life, Supernatural",Movie,1,8.35,59815
3226,major s4,"Comedy, Drama, Shounen, Sports",TV,26,8.35,28002
21557,omoide no marnie,"Drama, Mystery, Psychological",Movie,1,8.35,53590
31715,working lord of the takanashi,"Comedy, Romance, Slice of Life",Special,1,8.34,31856
43,ghost in the shell,"Action, Mecha, Police, Psychological, Sci-Fi, Seinen",Movie,1,8.34,223036
9617,kon movie,"Comedy, Music, Slice of Life",Movie,1,8.34,115252
31051,kuroko no basket saikou no present desu,"Action, School, Shounen, Sports",Special,1,8.34,22900
10153,mahou shoujo lyrical nanoha the movie 2nd as,"Action, Comedy, Drama, Magic, Super Power",Movie,1,8.34,13315
1033,sennen joyuu,"Action, Adventure, Drama, Fantasy, Historical, Romance",Movie,1,8.34,58492
32188,steinsgate kyoukaimenjou no missing link  divide by zero,"Sci-Fi, Thriller",Special,1,8.34,38147
3091,xxxholic kei,"Comedy, Drama, Mystery, Psychological, Supernatural",TV,13,8.34,74941
12115,berserk ougon jidaihen iii  kourin,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Seinen, Supernatural",Movie,1,8.33,65594
28223,death parade,"Drama, Game, Mystery, Psychological, Thriller",TV,12,8.33,383914
121,fullmetal alchemist,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",TV,51,8.33,600384
3002,gyakkyou burai kaiji ultimate survivor,"Game, Psychological, Seinen, Thriller",TV,26,8.33,98996
138,hunter x hunter greed island,"Action, Adventure, Shounen, Super Power",OVA,8,8.33,57029
6675,redline,"Action, Cars, Sci-Fi, Sports",Movie,1,8.33,109392
10800,chihayafuru,"Drama, Game, Josei, Slice of Life, Sports",TV,25,8.32,158561
32005,detective conan movie 2 the darkest nightmare,"Action, Mystery, Police, Shounen",Movie,1,8.32,6229
813,dragon ball z,"Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",TV,291,8.32,375662
27821,fatestay night unlimited blade works  prologue,"Action, Fantasy, Magic, Shounen, Supernatural",Special,1,8.32,106382
28725,kokoro ga sakebitagatterunda,"Drama, Romance, School",Movie,1,8.32,59652
585,mimi wo sumaseba,"Adventure, Drama, Fantasy, Romance, Slice of Life",Movie,1,8.32,94435
16067,nagi no asukara,"Drama, Fantasy, Romance",TV,26,8.32,224947
30,neon genesis evangelion,"Action, Dementia, Drama, Mecha, Psychological, Sci-Fi",TV,26,8.32,461946
31490,one piece film gold,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",Movie,1,8.32,18642
759,tokyo godfathers,"Comedy, Drama",Movie,1,8.32,89424
6,trigun,"Action, Comedy, Sci-Fi",TV,26,8.32,283069
6864,xxxholic rou,"Mystery, Supernatural",OVA,2,8.32,36353
9735,gintama shinyaku benizakurahen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Special,1,8.31,14002
11977,mahou shoujo madoka★magica movie 1 hajimari no monogatari,"Drama, Magic, Psychological, Thriller",Movie,1,8.31,88164
11123,sekaiichi hatsukoi 2,"Comedy, Drama, Romance, Shounen Ai",TV,12,8.31,69253
23847,yahari ore no seishun love comedy wa machigatteiru zoku,"Comedy, Drama, Romance, School",TV,13,8.31,222994
33161,yahari ore no seishun love comedy wa machigatteiru zoku ova,"Comedy, Romance, School",OVA,1,8.31,35120
962,aria the natural,"Fantasy, Sci-Fi, Shounen, Slice of Life",TV,26,8.3,39596
1519,black lagoon the second barrage,"Action, Seinen",TV,12,8.3,203233
2167,clannad,"Comedy, Drama, Romance, School, Slice of Life, Supernatural",TV,23,8.3,566690
16706,kami nomi zo shiru sekai megamihen,"Comedy, Harem, Romance, Shounen, Supernatural",TV,12,8.3,142612
5681,summer wars,"Comedy, Sci-Fi",Movie,1,8.3,223359
3901,baccano specials,"Action, Comedy, Historical, Mystery, Seinen, Supernatural",Special,3,8.29,100412
6467,detective conan movie 14 the lost ship in the sky,"Action, Mystery, Police, Shounen",Movie,1,8.29,20602
10271,gyakkyou burai kaiji hakairokuhen,"Game, Psychological, Seinen, Thriller",TV,26,8.29,55566
22507,initial d final stage,"Cars, Seinen, Sports",TV,4,8.29,19702
3701,kaiba,"Adventure, Mystery, Romance, Sci-Fi",TV,12,8.29,56927
19123,one piece episode of merry  mou hitori no nakama no monogatari,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",Special,1,8.29,17247
33255,saiki kusuo no ψnan tv,"Comedy, School, Shounen, Supernatural",TV,120,8.29,47092
372,cardcaptor sakura movie 2 fuuin sareta card,"Comedy, Drama, Fantasy, Magic, Romance, Shoujo",Movie,1,8.28,60637
265,hajime no ippo mashiba vs kimura,"Comedy, Shounen, Sports",OVA,1,8.28,40623
25681,kamisama hajimemashita◎,"Comedy, Demons, Fantasy, Romance, Shoujo, Supernatural",TV,12,8.28,91796
4722,skip beat,"Comedy, Drama, Romance, Shoujo",TV,25,8.28,134818
24277,yowamushi pedal grande road,"Comedy, Drama, Shounen, Sports",TV,24,8.28,50778
239,gankutsuou,"Drama, Mystery, Sci-Fi, Supernatural, Thriller",TV,24,8.27,103828
512,majo no takkyuubin,"Adventure, Comedy, Drama, Fantasy, Magic, Romance",Movie,1,8.27,152331
4477,nodame cantabile parishen,"Comedy, Josei, Music, Romance, Slice of Life",TV,11,8.27,70822
15323,one piece episode of nami  koukaishi no namida to nakama no kizuna,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",Special,1,8.27,24707
31174,osomatsusan,"Comedy, Parody",TV,25,8.27,60988
23327,space☆dandy 2nd season,"Comedy, Sci-Fi, Space",TV,13,8.27,60918
5365,tsumiki no ie,Drama,Movie,1,8.27,45189
3702,detroit metal city,"Comedy, Music",OVA,12,8.26,104893
7465,eve no jikan movie,"Sci-Fi, Slice of Life",Movie,1,8.26,66376
7054,kaichou wa maidsama,"Comedy, Romance, School, Shoujo",TV,26,8.26,391628
1257,saint seiya meiou hades juuni kyuuhen,"Adventure, Sci-Fi, Shounen",OVA,13,8.26,23701
23283,zankyou no terror,"Psychological, Thriller",TV,11,8.26,342893
2025,darker than black kuro no keiyakusha,"Action, Mystery, Sci-Fi, Super Power",TV,25,8.25,440334
235,detective conan,"Adventure, Comedy, Mystery, Police, Shounen",TV,Unknown,8.25,114702
1364,detective conan movie 5 countdown to heaven,"Adventure, Comedy, Mystery, Police, Shounen",Movie,1,8.25,25432
18689,diamond no ace,"Comedy, School, Shounen, Sports",TV,75,8.25,81384
22043,fairy tail 214,"Action, Adventure, Comedy, Fantasy, Magic, Shounen",TV,102,8.25,255076
31988,hibike euphonium 2,"Drama, Music, School",TV,13,8.25,47716
20899,jojo no kimyou na bouken stardust crusaders,"Action, Adventure, Drama, Shounen, Supernatural",TV,24,8.25,120089
1453,maison ikkoku,"Comedy, Drama, Romance, Slice of Life",TV,96,8.25,22079
23623,non non biyori repeat,"Comedy, School, Seinen, Slice of Life",TV,12,8.26,64230
1559,shijou saikyou no deshi kenichi,"Action, Comedy, Martial Arts, School, Shounen",TV,50,8.25,129112
1382,yuushaou gaogaigar final,"Adventure, Drama, Mecha, Sci-Fi, Shounen",OVA,8,8.25,5001
23289,gekkan shoujo nozakikun,"Comedy, Romance, School",TV,12,8.24,292622
18,initial d fourth stage,"Action, Cars, Drama, Seinen, Sports",TV,24,8.24,41584
4814,junjou romantica 2,"Comedy, Drama, Romance, Shounen Ai",TV,12,8.24,87617
16662,kaze tachinu,"Drama, Historical, Romance",Movie,1,8.24,75359
12031,kingdom,"Action, Historical, Military, Seinen",TV,38,8.24,54211
8129,kuragehime,"Comedy, Josei, Slice of Life",TV,11,8.24,108053
14513,magi the labyrinth of magic,"Action, Adventure, Fantasy, Magic, Shounen",TV,25,8.24,317513
2581,mobile suit gundam ,"Action, Drama, Mecha, Military, Sci-Fi, Space",TV,25,8.24,120351
30015,relife,"Romance, School, Slice of Life",TV,13,8.24,202249
6171,saint seiya the lost canvas  meiou shinwa,"Action, Adventure, Martial Arts, Shounen, Super Power, Supernatural",OVA,13,8.24,40355
1827,seirei no moribito,"Action, Adventure, Fantasy, Historical",TV,26,8.24,106888
25013,akatsuki no yona,"Action, Adventure, Comedy, Fantasy, Romance, Shoujo",TV,24,8.23,216674
1367,detective conan movie 8 magician of the silver sky,"Adventure, Comedy, Mystery, Police, Shounen",Movie,1,8.23,23130
27833,durararax2 ketsu,"Action, Mystery, Supernatural",TV,12,8.23,115295
26213,free eternal summer special,"Comedy, School, Slice of Life",Special,1,8.23,36091
1974,glass no kamen 25,"Drama, Shoujo",TV,51,8.23,17038
8425,gosick,"Drama, Historical, Mystery, Romance",TV,24,8.23,232113
12069,hajime no ippo boxer no kobushi,"Comedy, Drama, Shounen, Sports",Special,1,8.23,20157
185,initial d first stage,"Action, Cars, Drama, Seinen, Sports",TV,26,8.23,68128
18679,kill la kill,"Action, Comedy, School, Super Power",TV,24,8.23,508118
2034,lovely★complex,"Comedy, Romance, Shoujo",TV,24,8.23,235003
437,perfect blue,"Dementia, Drama, Horror, Psychological",Movie,1,8.23,117565
721,princess tutu,"Comedy, Fantasy, Magic, Romance",TV,38,8.23,73218
12477,sakasama no patema,"Sci-Fi, Seinen",Movie,1,8.23,89749
4938,tsubasa shunraiki,"Action, Adventure, Drama, Fantasy, Magic, Mystery, Romance, Shounen, Supernatural",OVA,2,8.23,40420
2402,ashita no joe,"Drama, Sports",TV,79,8.22,15442
6702,fairy tail,"Action, Adventure, Comedy, Fantasy, Magic, Shounen",TV,175,8.22,584590
